ID,YR,CUM_PR,ANN_PERIOD,CUM_WEEK,ANN_WEEK,PER_WEEK,CUM_DAY,ANN_DAY,PER_DAY,WEEK_DAY,WK_DAY,DATE
1,1,1,1,1,1,1,1,10,10,10,10,4/11/2011
2,1,1,1,1,1,1,2,10,10,10,10,4/12/2011
3,1,1,1,1,1,1,3,10,10,10,10,4/13/2011
4,1,1,1,1,1,1,4,10,10,10,10,4/14/2011
5,1,1,1,1,1,1,5,10,10,10,10,4/15/2011
6,1,1,1,1,1,1,6,10,10,10,10,4/16/2011
7,1,1,1,1,1,1,7,10,10,10,10,4/17/2011
8,1,1,1,2,2,2,8,10,10,10,10,4/18/2011
9,1,1,1,2,2,2,9,10,10,10,10,4/19/2011
10,1,1,1,2,2,2,10,10,10,10,10,4/20/2011
11,1,1,1,2,2,2,11,10,10,10,10,4/21/2011
12,1,1,1,2,2,2,12,10,10,10,10,4/22/2011
13,1,1,1,2,2,2,13,10,10,10,10,4/23/2011
14,1,1,1,2,2,2,14,10,10,10,10,4/24/2011
15,1,1,1,3,3,3,15,10,10,10,10,4/25/2011
16,1,1,1,3,3,3,16,10,10,10,10,4/26/2011
17,1,1,1,3,3,3,17,10,10,10,10,4/27/2011
18,1,1,1,3,3,3,18,10,10,10,10,4/28/2011
19,1,1,1,3,3,3,19,10,10,10,10,4/29/2011
20,1,1,1,3,3,3,20,10,10,10,10,4/30/2011
21,1,1,1,3,3,3,21,10,10,10,10,5/1/2011
22,1,1,1,4,4,4,22,10,10,10,10,5/2/2011
23,1,1,1,4,4,4,23,10,10,10,10,5/3/2011
24,1,1,1,4,4,4,24,10,10,10,10,5/4/2011
25,1,1,1,4,4,4,25,10,10,10,10,5/5/2011
26,1,1,1,4,4,4,26,10,10,10,10,5/6/2011
27,1,1,1,4,4,4,27,10,10,10,10,5/7/2011
28,1,1,1,4,4,4,28,10,10,10,10,5/8/2011
29,1,2,2,5,5,1,29,10,10,10,10,5/9/2011
30,1,2,2,5,5,1,30,10,10,10,10,5/10/2011
31,1,2,2,5,5,1,31,10,10,10,10,5/11/2011
32,1,2,2,5,5,1,32,10,10,10,10,5/12/2011
33,1,2,2,5,5,1,33,10,10,10,10,5/13/2011
34,1,2,2,5,5,1,34,10,10,10,10,5/14/2011
35,1,2,2,5,5,1,35,10,10,10,10,5/15/2011
36,1,2,2,6,6,2,36,10,10,10,10,5/16/2011
37,1,2,2,6,6,2,37,10,10,10,10,5/17/2011
38,1,2,2,6,6,2,38,10,10,10,10,5/18/2011
39,1,2,2,6,6,2,39,10,10,10,10,5/19/2011
40,1,2,2,6,6,2,40,10,10,10,10,5/20/2011
41,1,2,2,6,6,2,41,10,10,10,10,5/21/2011
42,1,2,2,6,6,2,42,10,10,10,10,5/22/2011
43,1,2,2,7,7,3,43,10,10,10,10,5/23/2011
44,1,2,2,7,7,3,44,10,10,10,10,5/24/2011
45,1,2,2,7,7,3,45,10,10,10,10,5/25/2011
46,1,2,2,7,7,3,46,10,10,10,10,5/26/2011
47,1,2,2,7,7,3,47,10,10,10,10,5/27/2011
48,1,2,2,7,7,3,48,10,10,10,10,5/28/2011
49,1,2,2,7,7,3,49,10,10,10,10,5/29/2011
50,1,2,2,8,8,4,50,10,10,10,10,5/30/2011
51,1,2,2,8,8,4,51,10,10,10,10,5/31/2011
52,1,2,2,8,8,4,52,10,10,10,10,6/1/2011
53,1,2,2,8,8,4,53,10,10,10,10,6/2/2011
54,1,2,2,8,8,4,54,10,10,10,10,6/3/2011
55,1,2,2,8,8,4,55,10,10,10,10,6/4/2011
56,1,2,2,8,8,4,56,10,10,10,10,6/5/2011
57,1,3,3,9,9,1,57,10,10,10,10,6/6/2011
58,1,3,3,9,9,1,58,10,10,10,10,6/7/2011
59,1,3,3,9,9,1,59,10,10,10,10,6/8/2011
60,1,3,3,9,9,1,60,10,10,10,10,6/9/2011
61,1,3,3,9,9,1,61,10,10,10,10,6/10/2011
62,1,3,3,9,9,1,62,10,10,10,10,6/11/2011
63,1,3,3,9,9,1,63,10,10,10,10,6/12/2011
64,1,3,3,10,10,2,64,10,10,10,10,6/13/2011
65,1,3,3,10,10,2,65,10,10,10,10,6/14/2011
66,1,3,3,10,10,2,66,10,10,10,10,6/15/2011
67,1,3,3,10,10,2,67,10,10,10,10,6/16/2011
68,1,3,3,10,10,2,68,10,10,10,10,6/17/2011
69,1,3,3,10,10,2,69,10,10,10,10,6/18/2011
70,1,3,3,10,10,2,70,10,10,10,10,6/19/2011
71,1,3,3,11,11,3,71,10,10,10,10,6/20/2011
72,1,3,3,11,11,3,72,10,10,10,10,6/21/2011
73,1,3,3,11,11,3,73,10,10,10,10,6/22/2011
74,1,3,3,11,11,3,74,10,10,10,10,6/23/2011
75,1,3,3,11,11,3,75,10,10,10,10,6/24/2011
76,1,3,3,11,11,3,76,10,10,10,10,6/25/2011
77,1,3,3,11,11,3,77,10,10,10,10,6/26/2011
78,1,3,3,12,12,4,78,10,10,10,10,6/27/2011
79,1,3,3,12,12,4,79,10,10,10,10,6/28/2011
80,1,3,3,12,12,4,80,10,10,10,10,6/29/2011
81,1,3,3,12,12,4,81,10,10,10,10,6/30/2011
82,1,3,3,12,12,4,82,10,10,10,10,7/1/2011
83,1,3,3,12,12,4,83,10,10,10,10,7/2/2011
84,1,3,3,12,12,4,84,10,10,10,10,7/3/2011
85,1,4,4,13,13,1,85,10,10,10,10,7/4/2011
86,1,4,4,13,13,1,86,10,10,10,10,7/5/2011
87,1,4,4,13,13,1,87,10,10,10,10,7/6/2011
88,1,4,4,13,13,1,88,10,10,10,10,7/7/2011
89,1,4,4,13,13,1,89,10,10,10,10,7/8/2011
90,1,4,4,13,13,1,90,10,10,10,10,7/9/2011
91,1,4,4,13,13,1,91,10,10,10,10,7/10/2011
92,1,4,4,14,14,2,92,10,10,10,10,7/11/2011
93,1,4,4,14,14,2,93,10,10,10,10,7/12/2011
94,1,4,4,14,14,2,94,10,10,10,10,7/13/2011
95,1,4,4,14,14,2,95,10,10,10,10,7/14/2011
96,1,4,4,14,14,2,96,10,10,10,10,7/15/2011
97,1,4,4,14,14,2,97,10,10,10,10,7/16/2011
98,1,4,4,14,14,2,98,10,10,10,10,7/17/2011
99,1,4,4,15,15,3,99,10,10,10,10,7/18/2011
100,1,4,4,15,15,3,100,10,10,10,10,7/19/2011
101,1,4,4,15,15,3,101,10,10,10,10,7/20/2011
102,1,4,4,15,15,3,102,10,10,10,10,7/21/2011
103,1,4,4,15,15,3,103,10,10,10,10,7/22/2011
104,1,4,4,15,15,3,104,10,10,10,10,7/23/2011
105,1,4,4,15,15,3,105,10,10,10,10,7/24/2011
106,1,4,4,16,16,4,106,10,10,10,10,7/25/2011
107,1,4,4,16,16,4,107,10,10,10,10,7/26/2011
108,1,4,4,16,16,4,108,10,10,10,10,7/27/2011
109,1,4,4,16,16,4,109,10,10,10,10,7/28/2011
110,1,4,4,16,16,4,110,10,10,10,10,7/29/2011
111,1,4,4,16,16,4,111,10,10,10,10,7/30/2011
112,1,4,4,16,16,4,112,10,10,10,10,7/31/2011
113,1,5,5,17,17,1,113,10,10,10,10,8/1/2011
114,1,5,5,17,17,1,114,10,10,10,10,8/2/2011
115,1,5,5,17,17,1,115,10,10,10,10,8/3/2011
116,1,5,5,17,17,1,116,10,10,10,10,8/4/2011
117,1,5,5,17,17,1,117,10,10,10,10,8/5/2011
118,1,5,5,17,17,1,118,10,10,10,10,8/6/2011
119,1,5,5,17,17,1,119,10,10,10,10,8/7/2011
120,1,5,5,18,18,2,120,10,10,10,10,8/8/2011
121,1,5,5,18,18,2,121,10,10,10,10,8/9/2011
122,1,5,5,18,18,2,122,10,10,10,10,8/10/2011
123,1,5,5,18,18,2,123,10,10,10,10,8/11/2011
124,1,5,5,18,18,2,124,10,10,10,10,8/12/2011
125,1,5,5,18,18,2,125,10,10,10,10,8/13/2011
126,1,5,5,18,18,2,126,10,10,10,10,8/14/2011
127,1,5,5,19,19,3,127,10,10,10,10,8/15/2011
128,1,5,5,19,19,3,128,10,10,10,10,8/16/2011
129,1,5,5,19,19,3,129,10,10,10,10,8/17/2011
130,1,5,5,19,19,3,130,10,10,10,10,8/18/2011
